ID,Source,Page,X1,Y1,X2,Y2,Width,Height,TextLength,Text
W-024,web,1,841,13865,2771,16560,1930,2695,513,"新発売!
JR九州の長崎~佐世保間の普通快速列車が連続する2日間乗り放題!ぶらり大村線寺社めぐりきっぷ
2025年6月13日~10月30日木
発売期間
ご利用期間2025年6月13日~10月31日金
連続する2日間
有効期間
※特別御朱印頒布券は10月31日(金)まで
フリー区間
※特急列車及び新幹線はご利用になれません。別途、特急券をお買い求めいただくと、西九州新幹線、特急列車にご乗車いただけます。
佐世保Q
彼杵
○新大村◯諫早
喜々津
長与
長崎○
特別御朱印
頒布券※要初穂料
JR九州長崎~佐世保間の普通・快速列車
連続する2日間乗り放題
駅の窓口発売(発売駅は下記のとおり)3,700円
OJR九州長崎支社管内のみどりの窓口及び指定席券売機で発売します。「JR九州インターネット列車予約」での発売は行っておりません。※長崎支社管内みどりの窓口のある駅長崎駅浦上駅諫早駅新大村駅ハウステンボス駅早岐駅佐世保駅有田駅武雄温泉駅・嬉野温泉駅長崎支社管内指定席券売機のある駅長崎駅諫早駅新大村駅ハウステンボス駅早岐駅佐世保駅武雄温泉駅嬉野温泉駅○小人用の設定はありません。
6枚
+
早岐
ハ"
W-025,web,1,1225,14835,2611,14940,1386,105,50,JR九州の長崎~佐世保間(下図)の普通快速列車の普通車自由席に、連続する2日間乗り放題のきっぷです。
W-026,web,1,1881,17036,1942,17353,61,317,5,特別御朱印
W-027,web,1,585,17641,873,18121,288,480,13,"令和年月皇祖神社
皇祖神社"
W-028,web,1,2972,17616,3222,18121,250,505,7,"岡田宮
岡田宮"
W-029,web,1,0,17676,153,18121,153,445,10,"寿命厄除の神
賀神社"
W-030,web,1,1804,17692,2019,18118,215,426,13,"豐山八籓神社
豊山八幡神社"
W-031,web,1,1148,18083,2662,18620,1514,537,170,"「特別御朱印」はきっぷ購入時にお渡しする特別御朱印頒布券を対象の神社、お寺で初穂料と一緒に納めることでいただける特別御朱印です。
※御朱印や特別御朱印の画像はイメージです。※頒布可能日や時間は急遽変わる可能性があります。※初穂料は寺社により異なります。※「特別御朱印頒布券」の有効期限は2025年10月31日(金)です。
春日神社
祖八幡宮"
W-032,web,1,3734,18086,3827,18118,93,32,3,一宮神
W-033,web,1,1881,18889,1939,19276,58,387,6,特別御朱印帳
W-034,web,1,1014,20102,2838,21843,1824,1741,468,"九州旅客鉄道株式会社
つばめ御朱印帳
「ぐるっと九州寺社めぐりきっぷ(特別御朱印帳付)」(数量限定)をご購入時にお渡しする「特別御朱印帳引換券」を指定の駅の観光案内所で提示すると、2種類のJR九州特別御朱印帳のうちお好きな1冊に引き換えできます。
※数に限りがありますので無くなり次第終了となります。※JR九州商事が運営する通販サイト「九州の旅とお取り寄せ」でも発売します。※駅の窓口では引き換えできません。
特別御朱印帳引換え箇所
引換え箇所
引換え時間
対象駅
北九州市総合観光案内所
小倉駅
9:0019:00
8:00-19:00
博多駅総合案内所
博多駅
佐賀駅
佐賀市観光案内所
8:30~18:00(土日祝は17:00まで)
長崎市総合観光案内所
8:0019:00
長崎駅
8:3019:00
大分市観光案内所
大分駅
熊本駅総合観光案内所
9:00-17:30
熊本駅
宮崎市観光案内所
宮崎駅
9:0018:00
鹿児島中央駅総合観光案内所
8:0019:00
鹿児島中央駅
※2025年1月現在
D&S列車御朱印帳"
W-035,web,1,1260,22192,2547,22918,1287,726,33,"御朱印をめぐる
御朱印・御朱印帳ってなに?
御朱印の基礎知識・作法"
