ID,Source,Page,X1,Y1,X2,Y2,Width,Height,TextLength,Text
P-085,pdf,1,2900,14767,3173,15056,273,289,36,"今山八幡宮
いらしてください。
JR駅から徒歩約10分
山下町13875"
P-086,pdf,1,1605,15027,1662,15211,57,184,4,日吉神社
P-087,pdf,1,244,15357,839,15802,595,445,34,"2神社
紀元前と伝えられており、
00
日本。
JR
083-1
社"
P-088,pdf,1,1083,15357,1600,15594,517,237,45,"63Aft
の思し召しにより地として明
JR八代駅からバスで「八代宮前」下車すぐ
7-34"
P-089,pdf,1,2040,15357,2554,15618,514,261,57,"70今山大師
のんごうぶじ)ま
かんじょう)して「
ために
てたことが起となっています。JR駅から徒歩約10分
そ"
P-090,pdf,1,2867,15353,3572,15863,705,510,53,"71神社
に囲まれた方は、気
JR駅から徒歩約20分
をはじめ、
があるとされている。
1329
ただます"
P-091,pdf,1,240,15924,562,16197,322,273,39,"鹿児島
64諏訪神社
ことから安産の神
JR約20分
鹿児島県出水市13-38"
P-092,pdf,1,1087,15952,1466,16193,379,241,28,"65神社
JR鹿児島中央駅から徒歩約17分
3-24-5"
P-093,pdf,1,2028,15944,2558,16193,530,249,49,"APERCATS72宮崎神宮
が祀られている
JR駅から徒歩約10分宮崎県宮崎市神宮2-4-1
神"
P-094,pdf,1,2855,15969,3613,16518,758,549,47,"73青島神社
と呼ばれる
知られる
JR
2-13-1
として親しまれている。
イメージです。"
